Component	TestName	MinTimeTakenMs	SumTimeTakenMs
Dapper	SelectAllBenchmarkOperationDapper	51.03	6250.34
EfCore2	SelectAllBenchmarkOperationEfCore	163.11	19874.59
SqlRepo	SelectAllBenchmarkOperationSqlRepo	50.34	6260.17
Dapper	SelectByDecimalValueBenchmarkOperationDapper	4.56	473.34
SqlRepo	SelectByDecimalValueBenchmarkOperationSqlRepo	4.64	479.66
Dapper	SelectSingleColumnBenchmarkDapper	13.16	2382.85
EfCore2	SelectSingleColumnBenchmarkEfCore	39.93	5106.13
SqlRepo	SelectSingleColumnBenchmarkSqlRepo	12.74	2284.85
Dapper	SelectTop1BenchmarkOperationDapper	0.3	40.43
EfCore2	SelectTop1BenchmarkOperationEfCore	0.66	73.73
SqlRepo	SelectTop1BenchmarkOperationSqlRepo	0.35	42.85
SqlRepo	SelectTop1BenchmarkOperationSqlRepoRaw	0.32	40.16
Dapper	SelectTop5000BenchmarkOperationDapper	3.91	533
EfCore2	SelectTop5000BenchmarkOperationEfCore	9.81	2082.93
SqlRepo	SelectTop5000BenchmarkOperationSqlRepo	4	526.43
Dapper	SelectWhereBetweenBenchmarkOperationDapper	5.69	586.4
EfCore2	SelectWhereBetweenBenchmarkOperationEfCore	7.43	766.98
SqlRepo	SelectWhereBetweenBenchmarkOperationSqlRepo	5.82	590.53
